"","Entity","Date","Total.confirmed.deaths..deaths.","Total.confirmed.cases..cases.","PopTotal","Code","PerCapita.Death","PerCapita.Infection","Death.Rate"
"116","Algeria",2020-03-25,19,264,43851043,"DZA",4.33285019013117e-07,6.02038131681383e-06,0.071969696969697
"117","Algeria",2020-04-07,173,1423,43851043,"DZA",3.94517412048785e-06,3.2450767476614e-05,0.121574139142656
"118","Algeria",2020-04-06,152,1320,43851043,"DZA",3.46628015210493e-06,3.01019065840692e-05,0.115151515151515
"119","Algeria",2020-04-13,293,1914,43851043,"DZA",6.68171108267596e-06,4.36477645469003e-05,0.153082549634274
"120","Algeria",2020-04-20,375,2629,43851043,"DZA",8.55167800683783e-06,5.99529639466044e-05,0.142639786991251
"121","Algeria",2020-03-30,31,511,43851043,"DZA",7.06938715231927e-07,1.16530865639844e-05,0.060665362035225
"122","Algeria",2020-03-23,17,201,43851043,"DZA",3.87676069643315e-07,4.58369941166508e-06,0.0845771144278607
"123","Algeria",2020-04-21,384,2718,43851043,"DZA",8.75691827900194e-06,6.19825621935606e-05,0.141280353200883
"124","Algeria",2020-04-05,130,1251,43851043,"DZA",2.96458170903711e-06,2.8528397830811e-05,0.103916866506795
"125","Algeria",2020-04-04,105,1171,43851043,"DZA",2.39446984191459e-06,2.67040398560189e-05,0.089666951323655
"126","Algeria",2020-04-22,392,2811,43851043,"DZA",8.93935407648115e-06,6.41033783392564e-05,0.139452152258983
"127","Algeria",2020-03-22,15,139,43851043,"DZA",3.42067120273513e-07,3.16982198120122e-06,0.107913669064748
"128","Algeria",2020-04-16,336,2160,43851043,"DZA",7.6623034941267e-06,4.92576653193859e-05,0.155555555555556
"129","Algeria",2020-04-18,364,2418,43851043,"DZA",8.30082878530392e-06,5.51412197880903e-05,0.150537634408602
"130","Algeria",2020-04-15,325,2070,43851043,"DZA",7.41145427259279e-06,4.72052625977448e-05,0.157004830917874
"131","Algeria",2020-04-17,348,2268,43851043,"DZA",7.93595719034551e-06,5.17205485853552e-05,0.153439153439153
"132","Algeria",2020-04-14,313,1983,43851043,"DZA",7.13780057637398e-06,4.52212733001585e-05,0.157841654059506
"133","Andorra",2020-03-26,0,188,77265,"AND",0,0.00243318449492008,0
"134","Andorra",2020-04-17,33,682,77265,"AND",0.00042710153368278,0.00882676502944412,0.0483870967741935
"135","Andorra",2020-03-27,3,224,77265,"AND",3.882741215298e-05,0.00289911344075584,0.0133928571428571
"136","Andorra",2020-04-08,22,545,77265,"AND",0.00028473435578852,0.0070536465411247,0.0403669724770642
"137","Andorra",2020-04-15,31,659,77265,"AND",0.00040121659224746,0.00852908820293794,0.047040971168437
"138","Andorra",2020-03-21,0,75,77265,"AND",0,0.0009706853038245,0
"139","Andorra",2020-04-07,21,526,77265,"AND",0.00027179188507086,0.00680773959748916,0.0399239543726236
"140","Andorra",2020-04-03,15,428,77265,"AND",0.0001941370607649,0.00553937746715848,0.0350467289719626
"141","Andorra",2020-04-16,33,673,77265,"AND",0.00042710153368278,0.00871028279298518,0.0490341753343239
"142","Andorra",2020-03-23,0,113,77265,"AND",0,0.00146249919109558,0
"143","Andorra",2020-04-22,37,717,77265,"AND",0.00047887141655342,0.00927975150456222,0.0516039051603905
"144","Andorra",2020-04-06,18,501,77265,"AND",0.00023296447291788,0.00648417782954766,0.0359281437125748
"145","Andorra",2020-04-14,29,646,77265,"AND",0.00037533165081214,0.00836083608360836,0.0448916408668731
