"","Date","Entity","Code","Total.confirmed.deaths..deaths.","Total.confirmed.cases..cases.","PopTotal","PerCapita.Death","PerCapita.Infection","Death.Rate"
"187",NA,"Africa","",0,0,1340598113,0,0,NA
"188",NA,"Africa","",35,1176,1340598113,2.61077497130566e-08,8.77220390358703e-07,0.0297619047619048
"189",NA,"Africa","",0,1,1340598113,0,7.45935706087332e-10,0
"190",NA,"Africa","",143,4629,1340598113,1.06668805970488e-07,3.45293638347826e-06,0.0308922013393822
"191",NA,"Africa","",0,0,1340598113,0,0,NA
"192",NA,"Africa","",0,0,1340598113,0,0,NA
"193",NA,"Africa","",4,159,1340598113,2.98374282434933e-09,1.18603777267886e-07,0.0251572327044025
"194",NA,"Africa","",5,202,1340598113,3.72967853043666e-09,1.50679012629641e-07,0.0247524752475248
"195",NA,"Africa","",0,0,1340598113,0,0,NA
"196",NA,"Africa","",84,3278,1340598113,6.26585993113359e-08,2.44517724455427e-06,0.0256253813300793
"197",NA,"Africa","",72,2690,1340598113,5.37073708382879e-08,2.00656704937492e-06,0.0267657992565056
"198",NA,"Africa","",0,0,1340598113,0,0,NA
"199",NA,"Africa","",0,0,1340598113,0,0,NA
"200",NA,"Africa","",0,0,1340598113,0,0,NA
"201",NA,"Africa","",24,975,1340598113,1.7902456946096e-08,7.27287313435149e-07,0.0246153846153846
"202",NA,"Africa","",0,0,1340598113,0,0,NA
"203",NA,"Africa","",1,105,1340598113,7.45935706087332e-10,7.83232491391699e-08,0.00952380952380952
"204",NA,"Africa","",691,12952,1340598113,5.15441572906346e-07,9.66135926524313e-06,0.0533508338480544
"205",NA,"Africa","",8,402,1340598113,5.96748564869866e-09,2.99866153847108e-07,0.0199004975124378
"206",NA,"Africa","",1120,22303,1340598113,8.35447990817812e-07,1.66366040528658e-05,0.0502174595345918
"207",NA,"Africa","",0,0,1340598113,0,0,NA
"208",NA,"Africa","",0,3,1340598113,0,2.237807118262e-09,0
"209",NA,"Africa","",124,4124,1340598113,9.24960275548292e-08,3.07623885190416e-06,0.0300678952473327
"210",NA,"Africa","",630,12280,1340598113,4.69939494835019e-07,9.16009047075244e-06,0.0513029315960912
"211",NA,"Africa","",64,2203,1340598113,4.77398851895893e-08,1.64329636051039e-06,0.0290512936904222
"212",NA,"Africa","",52,1738,1340598113,3.87886567165413e-08,1.29643625717978e-06,0.0299194476409666
"213",NA,"Africa","",0,0,1340598113,0,0,NA
"214",NA,"Africa","",103,3804,1340598113,7.68313777269952e-08,2.83753942595621e-06,0.0270767613038906
"215",NA,"Africa","",1155,23267,1340598113,8.61555740530869e-07,1.7355686073534e-05,0.0496411226200198
"216",NA,"Africa","",12,494,1340598113,8.95122847304798e-09,3.68492238807142e-07,0.0242914979757085
"217",NA,"Africa","",16,633,1340598113,1.19349712973973e-08,4.72177301953281e-07,0.0252764612954186
"218",NA,"Africa","",17,744,1340598113,1.26809070034846e-08,5.54976165328975e-07,0.0228494623655914
"219",NA,"Albania","ALB",15,243,2877800,5.21231496281882e-06,8.44395023976649e-05,0.0617283950617284
"220",NA,"Albania","ALB",10,197,2877800,3.47487664187921e-06,6.84550698450205e-05,0.050761421319797
"221",NA,"Albania","ALB",23,446,2877800,7.99221627632219e-06,0.000154979498227813,0.0515695067264574
"222",NA,"Albania","ALB",26,609,2877800,9.03467926888595e-06,0.000211619987490444,0.0426929392446634
"223",NA,"Albania","ALB",23,416,2877800,7.99221627632219e-06,0.000144554868302175,0.0552884615384615
"224",NA,"Albania","ALB",6,174,2877800,2.08492598512753e-06,6.04628535686983e-05,0.0344827586206897
"225",NA,"Albania","ALB",22,400,2877800,7.64472861213427e-06,0.000138995065675169,0.055
"226",NA,"Albania","ALB",22,383,2877800,7.64472861213427e-06,0.000133087775383974,0.0574412532637076
"227",NA,"Albania","ALB",10,212,2877800,3.47487664187921e-06,7.36673848078393e-05,0.0471698113207547
"228",NA,"Albania","ALB",9,186,2877800,3.12738897769129e-06,6.46327055389534e-05,0.0483870967741935
"229",NA,"Albania","ALB",23,433,2877800,7.99221627632219e-06,0.00015046215859337,0.0531177829099307
"230",NA,"Albania","ALB",5,123,2877800,1.73743832093961e-06,4.27409826951143e-05,0.040650406504065
"231",NA,"Albania","ALB",22,377,2877800,7.64472861213427e-06,0.000131002849398846,0.0583554376657825
"232",NA,"Albania","ALB",2,89,2877800,6.94975328375843e-07,3.0926402112725e-05,0.0224719101123595
"233",NA,"Albania","ALB",5,146,2877800,1.73743832093961e-06,5.07331989714365e-05,0.0342465753424658
"234",NA,"Albania","ALB",23,409,2877800,7.99221627632219e-06,0.00014212245465286,0.0562347188264059
"235",NA,"Albania","ALB",1,33,2877800,3.47487664187921e-07,1.14670929182014e-05,0.0303030303030303
"236",NA,"Albania","ALB",23,467,2877800,7.99221627632219e-06,0.000162276739175759,0.0492505353319058
"237",NA,"Albania","ALB",0,10,2877800,0,3.47487664187921e-06,0
"238",NA,"Albania","ALB",26,562,2877800,9.03467926888595e-06,0.000195288067273612,0.0462633451957295
"239",NA,"Albania","ALB",2,76,2877800,6.94975328375843e-07,2.6409062478282e-05,0.0263157894736842
"240",NA,"Albania","ALB",21,361,2877800,7.29724094794635e-06,0.00012544304677184,0.0581717451523546
"241",NA,"Albania","ALB",1,38,2877800,3.47487664187921e-07,1.3204531239141e-05,0.0263157894736842
"242",NA,"Albania","ALB",12,223,2877800,4.16985197025506e-06,7.74897491139065e-05,0.0538116591928251
"243",NA,"Albania","ALB",26,584,2877800,9.03467926888595e-06,0.000202932795885746,0.0445205479452055
"244",NA,"Albania","ALB",1,11,2877800,3.47487664187921e-07,3.82236430606713e-06,0.0909090909090909
"245",NA,"Albania","ALB",2,59,2877800,6.94975328375843e-07,2.05017721870874e-05,0.0338983050847458
"246",NA,"Albania","ALB",2,70,2877800,6.94975328375843e-07,2.43241364931545e-05,0.0285714285714286
"247",NA,"Albania","ALB",19,333,2877800,6.6022656195705e-06,0.000115713392174578,0.0570570570570571
"248",NA,"Albania","ALB",0,6,2877800,0,2.08492598512753e-06,0
"249",NA,"Albania","ALB",0,2,2877800,0,6.94975328375843e-07,0
"250",NA,"Albania","ALB",1,55,2877800,3.47487664187921e-07,1.91118215303357e-05,0.0181818181818182
"251",NA,"Albania","ALB",25,494,2877800,8.68719160469803e-06,0.000171658906108833,0.0506072874493927
"252",NA,"Albania","ALB",4,100,2877800,1.38995065675169e-06,3.47487664187921e-05,0.04
"253",NA,"Albania","ALB",1,23,2877800,3.47487664187921e-07,7.99221627632219e-06,0.0434782608695652
